208,(Unspecified organ),000000,(Unspecified organ)
273,(Unspecified organ),000000,(Unspecified organ)
7,(Unspecified organ),000000,(Unspecified organ)
209,(Unspecified organ),000000,(Unspecified organ)
207,(Unspecified organ),000000,(Unspecified organ)
206,(Unspecified organ),000000,(Unspecified organ)
205,(Unspecified organ),000000,(Unspecified organ)
203,(Unspecified organ),000000,(Unspecified organ)
204,(Unspecified organ),000000,(Unspecified organ)
222,Abdominal cavity,000000,Abdominal cavity
116,Adipose tissue,C22703,Adipose tissue
338,Adipose tissue - Abdominal cavity,000000,Adipose tissue - Abdominal cavity
154,Adipose tissue - Brown,C22704,Adipose tissue - Brown
195,Adipose tissue - White,C22705,Adipose tissue - White
56,Adrenal gland,C22635,Adrenal gland
49,Adrenal gland - Cortex,C22636,Adrenal gland - Cortex
72,Adrenal gland - Medulla,C22637,Adrenal gland - Medulla
192,Adrenal gland - Subcapsular cell,C22638,Adrenal gland - Subcapsular cell
215,Ampullary gland,C22167,Ampullary gland
178,Blood (fetal),C22560,Blood (fetal)
12,Blood vessel,C22499,Blood vessel
357,Blood vessel - Aorta,000000,Blood vessel - Aorta
244,Blood vessel - Pericyte,000000,Blood vessel - Pericyte
71,Bone,C22682,Bone
181,Bone - Jaw,C22683,Bone - Jaw
265,Bone - Nose,000000,Bone - Nose
327,Bone - Rib,C23713,Bone - Rib
186,Bone - Skull,C22684,Bone - Skull
219,Bone - Spinal canal,000000,Bone - Spinal canal
360,Bone - Sternum,000000,Bone - Sternum
362,Bone - Vertebral Column,000000,Bone - Vertebral Column
324,Bone - Vertebral Column - Vertebra,000000,Bone - Vertebra
65,Bone marrow,C22552,Bone marrow
194,Bulbourethral gland,C22168,Bulbourethral gland
51,Clitoral gland,C22654,Clitoral gland
40,CNS - Brain,C22606,CNS - Brain
86,CNS - Brain - Astrocyte,C22607,CNS - Brain - Astrocyte
27,CNS - Brain - Brain Stem,C22608,CNS - Brain - Brain Stem
